target_month,selector_net_10bps,momentum_6m_top2_invvol_net_10bps
2019-01-31,0.013352838482644448,0.01379075912307288
2019-02-28,0.010424530213164307,0.003341444355295953
2019-03-31,-0.000729794344001368,-0.0020986658111175967
2019-04-30,-0.0040501919215671315,-0.015118903758569498
2019-05-31,-0.036694970177651755,-0.018489361733648877
2019-06-30,0.07339627933610772,0.07354563497557519
2019-07-31,0.0009397910873741888,0.0009397910873741888
2019-08-31,0.040469045996737146,0.040469045996737146
2019-09-30,-0.034173871534859124,0.017038662546387296
2019-10-31,0.014373955087455858,0.01483857866827138
2019-11-30,-0.03260252115677079,-0.007940346777915367
2019-12-31,0.036559,0.05055092470486694
2020-01-31,-0.14044,-0.024383531483194325
2020-02-29,-0.04161525,-0.016560912075655815
2020-03-31,-0.04074319799472721,-0.04026214974498026
2020-04-30,0.02601281105546758,0.02601281105546758
2020-05-31,0.012306249024283964,0.012306249024283964
2020-06-30,0.02690171859597104,0.03642985349081933
2020-07-31,0.107905,0.09412542649902086
2020-08-31,0.03375531875003762,0.027708463652417522
2020-09-30,-0.03670231162642682,-0.03630452609044572
2020-10-31,0.010378356966235824,0.010378356966235824
2020-11-30,0.12676901343833052,0.12676901343833052
2020-12-31,0.016668947495806528,0.016668947495806528
2021-01-31,-0.002195770422111164,-0.002195770422111164
2021-02-28,0.0776806423014112,0.0776806423014112
2021-03-31,-0.006223843495950048,-0.006223843495950048
2021-04-30,0.07752520667302579,0.07752520667302579
2021-05-31,0.048284951271221184,0.048284951271221184
2021-06-30,0.06573422563028823,0.0006510499417295839
2021-07-31,0.025728,0.026282534773679127
2021-08-31,-0.02946,-0.010555767850828342
2021-09-30,0.033353300648667324,0.03393743133315146
2021-10-31,0.07618205329606632,0.030149865075622905
2021-11-30,-0.144737,-0.0819437172967562
2021-12-31,0.094872,0.04058260108558501
2022-01-31,0.140515,0.0706038733498676
2022-02-28,0.055955,0.0637434718665039
2022-03-31,0.122022,0.07997122945221966
2022-04-30,0.100087,-0.018470201404178724
2022-05-31,0.09295,0.011112955265980225
2022-06-30,-0.07584025,-0.07047875916708699
2022-07-31,-0.01336518468832701,-0.012960473629518144
2022-08-31,0.011326435115180722,0.011326435115180722
2022-09-30,-0.04727393793248151,-0.04727393793248151
2022-10-31,-0.003196711368358027,0.014865885437669929
2022-11-30,0.0030868730819760843,0.003596733376364985
2022-12-31,0.018179019430557032,0.018179019430557032
2023-01-31,0.08083065884097197,0.08083065884097197
2023-02-28,-0.06177647650552611,-0.06177647650552611
2023-03-31,0.02090815915840099,0.053267232594061006
2023-04-30,-0.013263508663081975,-0.012757123933438667
2023-05-31,-0.03955407112515543,-0.03673679566026977
2023-06-30,0.010153320876210493,0.009850433575832337
2023-07-31,0.03558116291868551,0.03558116291868551
2023-08-31,-0.010001289989872817,-0.010001289989872817
2023-09-30,-0.025621402687145977,-0.004094467862197372
2023-10-31,0.016791445608371265,0.011157996148467188
2023-11-30,0.0029063621304554806,-0.006030551003799154
2023-12-31,-0.03466938606610368,-0.034343072327671045
2024-01-31,0.023379892818593602,-0.021607153926870834
2024-02-29,0.025104502353549683,0.01707137469410297
2024-03-31,0.116321,0.10452379405274992
2024-04-30,0.01208365101375242,0.012474210960874943
2024-05-31,0.009607021658708612,0.022058870536828652
2024-06-30,-0.05362394388503546,-0.04504656747008154
2024-07-31,0.052672,0.02718830730015098
2024-08-31,0.03332584921103579,0.0337739797365418
2024-09-30,0.049826680909142065,0.053286130022961765
2024-10-31,0.015602050730652052,0.0223900785459772
2024-11-30,-0.031642123404543046,-0.0006622329888283469
2024-12-31,0.005744245783623583,0.006147226954080517
2025-01-31,0.05464001800670782,0.05464001800670782
2025-02-28,0.017781006718919384,-0.007947202937940982
2025-03-31,0.05179801306493681,0.052208876423760174
2025-04-30,0.05384629331492019,-0.04477106129939531
2025-05-31,-0.00056,-0.002849543405755501
2025-06-30,0.004051,-0.008513087057995855
2025-07-31,-0.006135,-0.006427045651340837
2025-08-31,0.049875,0.013655914266284899
2025-09-30,0.117584,0.03712417396663563
2025-10-31,0.024749873933925668,0.053878609790623526
2025-11-30,0.05290555619215919,0.025293050597443238
2025-12-31,0.021734,0.04794545494127904
2026-01-31,0.12273220458731804,0.08531761491732114
2026-02-28,0.08720080907967187,0.045072937447685764
2026-03-31,-0.11051162790697666,-0.06701111764528635
2026-04-30,0.12455140821174082,0.027165504139971493
2026-05-31,-0.09345794392523366,0.017170440447455866
